City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,sao paulo de olivenca,-3.3783,-68.8725,36.7,36,91,1.88,BR,1731436912
119,axim,4.8699,-2.2405,26.46,82,8,2.27,GH,1731436913
120,nova sintra,14.8667,-24.7167,26.5,69,9,9.63,CV,1731436914
121,stanley,54.868,-1.6985,5.28,91,0,0.0,GB,1731436916
122,okhtyrka,50.3104,34.8988,0.72,76,15,1.86,UA,1731436917
123,codrington,-38.2667,141.9667,13.36,90,100,7.14,AU,1731436918
124,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,4.63,CA,1731436919
125,semirom,31.4167,51.5667,6.93,57,10,2.1,IR,1731436920
126,natal,-5.795,-35.2094,30.12,62,40,7.2,BR,1731436921
127,toliara,-23.35,43.6667,25.13,66,88,4.2,MG,1731436922
128,klaksvik,62.2266,-6.589,10.48,85,100,14.21,FO,1731436923
129,sao vicente,-23.9631,-46.3919,23.32,35,100,2.68,BR,1731436924
130,seymour,38.9592,-85.8903,12.64,48,3,4.82,US,1731436925
131,sunne,59.8376,13.143,3.51,83,99,0.83,SE,1731436927
132,bathsheba,13.2167,-59.5167,31.34,66,40,8.75,BB,1731436928
133,longyearbyen,78.2186,15.6401,1.91,87,75,8.23,SJ,1731436929
134,puerto baquerizo moreno,-0.9,-89.6,25.55,57,20,4.63,EC,1731436930
135,skare,55.3833,13.05,5.43,74,100,4.45,SE,1731436931
136,pader palwo,2.8006,33.135,23.15,61,100,1.82,UG,1731436932
137,smithers,54.7804,-127.1743,2.18,93,75,2.57,CA,1731436933
138,atafu village,-8.5421,-172.5159,28.45,68,17,8.07,TK,1731436934
139,lompoc,34.6391,-120.4579,18.62,51,0,5.66,US,1731436744
140,whitehorse,60.7161,-135.0538,-4.57,92,100,1.03,CA,1731436937
141,gao,16.6362,1.637,26.27,13,2,4.11,ML,1731436938
142,afaahiti,-17.75,-149.2833,23.96,75,88,7.41,PF,1731436939
143,l'vovskiy,55.3142,37.5158,1.65,90,42,2.8,RU,1731436940
144,santiago papasquiaro,25.046,-105.4208,27.6,15,5,6.09,MX,1731436941
145,meridian,43.6121,-116.3915,9.52,63,0,5.14,US,1731436942
146,al jawf,29.5,38.75,19.22,49,14,3.77,SA,1731436943
147,mao,39.8885,4.2658,14.31,67,20,7.2,ES,1731436944
148,sarkand,45.41,79.9186,-0.37,93,100,1.02,KZ,1731436945
149,sisimiut,66.9395,-53.6735,-4.66,78,100,9.01,GL,1731436946
150,geraldton,-28.7667,114.6,15.23,88,100,4.12,AU,1731436948
151,brisas de zicatela,15.8369,-97.0419,30.29,70,0,3.09,MX,1731436949
152,hermanus,-34.4187,19.2345,14.33,84,0,1.67,ZA,1731436950
153,meizhou,24.2977,116.1072,21.54,82,100,1.27,CN,1731436951
154,ulladulla,-35.35,150.4667,15.04,94,11,2.19,AU,1731436952
155,gejiu,23.306,103.1635,12.04,96,19,0.43,CN,1731436953
156,guerrero negro,27.9769,-114.0611,19.92,64,0,8.66,MX,1731436954
157,qujing,25.4833,103.7833,10.62,91,0,2.35,CN,1731436956
158,punta arenas,-53.15,-70.9167,10.06,93,100,5.66,CL,1731436958
159,pandan,14.0453,124.1694,26.48,88,54,2.48,PH,1731436959
160,kargasok,59.0556,80.8572,-12.61,91,100,3.63,RU,1731436960
161,nagqu,31.5,92.0,-4.77,30,30,2.64,CN,1731436961
162,badger,64.8,-147.5333,-16.22,78,100,0.0,US,1731436962
163,matoury,4.8483,-52.3317,27.98,78,75,3.6,GF,1731436963
164,brookings,44.3114,-96.7984,9.14,69,3,0.89,US,1731436964
165,sitangkai,4.6628,119.3928,28.37,72,40,1.58,PH,1731436965
166,turiacu,-1.6633,-45.3717,28.5,65,98,2.84,BR,1731436966
167,flying fish cove,-10.4217,105.6791,24.82,100,100,3.6,CX,1731436968
168,ancud,-41.8697,-73.8203,12.87,77,50,4.34,CL,1731436969
169,hailar,49.2,119.7,-3.6,47,0,3.39,CN,1731436970
170,kiuruvesi,63.65,26.6167,1.73,82,99,1.98,FI,1731436971
171,east london,-33.0153,27.9116,21.52,78,0,3.6,ZA,1731436972
172,esmeraldas,-19.7625,-44.3139,25.43,69,88,1.15,BR,1731436973
173,krasnovishersk,60.4078,57.082,-7.64,97,100,1.28,RU,1731436974
174,at taj,24.2049,23.2857,19.22,26,0,4.2,LY,1731436975
175,dzhangala,49.2167,50.3333,-2.21,56,0,2.11,KZ,1731436976
176,nishinoomote,30.7333,131.0,22.31,78,73,7.25,JP,1731436978
177,bei'an,46.4398,126.2373,-3.35,67,0,2.9,CN,1731436979
178,gurupi,-11.7292,-49.0686,27.75,74,37,1.97,BR,1731436980
179,moose jaw,50.4001,-105.5344,9.15,57,100,6.17,CA,1731436981
180,hamilton,39.1834,-84.5333,11.47,65,100,5.14,US,1731436722
181,alotau,-10.3069,150.4462,24.41,96,61,1.32,PG,1731436983
182,den burg,53.0542,4.7972,9.98,81,100,3.09,NL,1731436985
183,tomohon,1.3346,124.8392,19.52,95,80,0.59,ID,1731436986
184,mejit,10.2753,170.8646,28.2,72,55,7.19,MH,1731436987
185,beidaihehaibin,39.8222,119.5181,10.61,55,100,2.29,CN,1731436989
186,arraial do cabo,-22.9661,-42.0278,32.98,58,0,6.69,BR,1731436990
187,jayapura,-2.5333,140.7,24.66,93,96,2.16,ID,1731436991
188,santa terezinha,-29.9002,-50.0904,20.05,51,0,7.38,BR,1731436992
189,lerwick,60.1545,-1.1494,11.07,93,100,10.61,GB,1731436993
190,klyuchi,52.2667,79.1667,-8.85,81,92,4.9,RU,1731436994
191,north bend,43.4065,-124.2243,12.92,82,100,4.63,US,1731436995
192,remire-montjoly,4.9167,-52.2667,28.02,78,75,3.6,GF,1731436996
193,kiunga,-6.1219,141.2906,22.57,99,100,0.32,PG,1731436998
194,port lincoln,-34.7333,135.8667,13.47,82,5,3.94,AU,1731437000
195,port macquarie,-31.4333,152.9167,18.37,98,69,0.89,AU,1731437001
196,quellon,-43.1167,-73.6167,13.39,76,100,3.47,CL,1731437002
197,aasiaat,68.7098,-52.8699,-7.56,87,99,5.8,GL,1731437003
198,sumbe,-11.2061,13.8437,25.36,87,22,5.17,AO,1731437004
199,blackmans bay,-43.0167,147.3167,12.51,91,100,2.66,AU,1731437005
200,susuman,62.7833,148.1667,-23.05,99,100,1.16,RU,1731437006
201,aripuana,-9.1667,-60.6333,35.4,38,100,0.83,BR,1731437007
202,midvagur,62.0511,-7.1939,11.46,93,100,10.8,FO,1731437008
203,sovetskaya gavan',48.9723,140.2878,-4.72,61,1,3.91,RU,1731437009
204,khorramshahr,30.4397,48.1664,24.98,44,0,4.12,IR,1731437011
205,opuwo,-18.0607,13.84,25.04,32,99,3.75,NA,1731437012
206,tindouf,27.6711,-8.1474,22.76,28,15,3.28,DZ,1731437013
207,noumea,-22.2763,166.4572,23.35,84,49,3.81,NC,1731436984
208,vorgashor,67.5833,63.95,-22.13,100,100,1.82,RU,1731437015
209,iskitim,54.6366,83.3045,-10.02,90,100,5.53,RU,1731437016
210,tiksi,71.6872,128.8694,-20.22,99,99,1.69,RU,1731437017
211,constantia,44.1833,28.65,5.38,77,100,5.41,RO,1731437018
212,tommot,58.9564,126.2925,-20.12,95,40,1.04,RU,1731437020
213,celestun,20.8667,-90.4,27.34,73,99,3.95,MX,1731437021
214,woodward,36.4337,-99.3904,19.98,45,0,9.77,US,1731437022
215,el calafate,-50.3408,-72.2768,12.43,72,78,4.25,AR,1731437023
